Animal ID,Label,2-Aminoadipate,3-Hydroxybutyrate,3-Hydroxyisovalerate,3-Methyl-2-oxovalerate,4-Guanidinobutanoate,ADP,AMP,ATP,Acetate,Alanine,Arginine,Asparagine,Aspartate,Betaine,Carnosine,Cholate,Choline,Creatine,Cytidine,Dimethylamine,Formate,Fumarate,Glucose,Glutamate,Glutamine,Glycine,Guanosine,Histidine,Hypoxanthine,Inosine,Isoleucine,Kynurenate,Kynurenine,Lactate,Leucine,Lysine,Methionine,N-Acetylglucosamine,NAD+,NADP+,NADPH,Niacinamide,Nicotinurate,O-Phosphocholine,Phenylalanine,Proline,Pyroglutamate,Pyruvate,Sarcosine,Serine,Succinate,Taurine,Threonine,Tryptophan,Tyrosine,UDP-N-Acetylglucosamine,Uracil,Urea,Uridine,Urocanate,Valine,myo-Inositol,sn-Glycero-3-phosphocholine
SB 2,1,13.0588,1.2291,1.4787,3.4375,11.4649,2.5926,1.3443,9.0451,14.4991,133.7182,45.1489,7.6816,12.3674,28.1724,28.0956,0.1344,14.211,350.1486,2.8998,5.9341,7.7393,5.0891,84.2292,104.5472,69.25,169.2459,1.3827,11.3304,4.897,40.1174,16.6308,1.133,13.5965,579.7722,20.2027,37.4288,7.5856,2.3429,0.9794,0.2689,0.8066,3.0919,0.941,8.0849,7.0095,42.9404,120.0257,11.6953,1.2291,117.6636,17.9174,266.4571,43.5933,2.631,12.5787,0.9026,3.4951,390.1508,9.5829,36.4686,21.451,35.566,14.6719
SB 3,2,21.3426,2.4,3.3428,5.9142,26.5282,5.6142,1.5428,8.9999,16.4998,154.7551,57.9421,6.8571,15.4284,28.1139,34.671,0,16.8855,476.8222,2.0571,12.4713,8.2713,2.8714,216.34,80.4846,64.8848,281.9962,1.9714,12.9855,5.3999,44.6137,19.0712,0.2143,3.5142,510.1646,16.5855,51.7707,15.8569,1.9285,2.1428,0.4714,0.9,4.0714,0.2143,6.5142,8.0999,59.9992,241.8825,15.1712,5.0142,137.6553,24.4711,308.1816,34.2853,2.7857,11.3141,0.9,4.3285,510.9361,6.0856,77.4847,19.4569,37.5424,17.914
SB 7,3,18.5704,1.0856,1.9402,4.4809,22.8435,1.7785,1.5706,4.6888,15.0365,131.6098,41.5987,7.576,15.0365,29.9344,16.584,0.1617,14.0202,297.4502,3.2106,9.1004,7.576,3.8111,123.4564,90.3807,76.2912,210.6958,2.125,9.8165,3.7418,46.9342,14.6207,0.9239,18.3395,460.9116,16.0528,39.1042,7.1602,1.9864,0.9008,0.2541,0.5543,3.3722,0.6698,8.8464,6.4211,59.2683,171.6379,11.2947,1.2011,102.4145,22.4277,247.0052,29.3801,2.0326,10.2784,0.9239,3.3491,371.6396,8.9388,49.6366,15.8449,30.8121,11.8952
SB 32,4,54.8273,2.6447,8.2394,14.7495,98.2619,24.5146,12.8168,50.6567,89.2088,358.8695,116.4698,26.1421,37.1279,50.3516,67.7458,0.3052,35.5004,865.2335,5.8998,42.4174,9.6634,2.4413,257.7594,229.888,230.4984,607.6775,5.086,34.6866,5.2895,20.6492,39.6709,4.5774,59.9133,883.7466,36.8228,96.024,13.2236,1.9327,12.3082,1.4241,2.4413,3.4585,1.9327,15.3598,20.2424,138.8483,471.067,14.1391,3.0516,399.2525,32.5505,612.967,114.1303,4.374,25.3284,4.5774,4.2723,400.5748,6.1032,164.1767,35.7039,110.9769,48.2155
SB 40,5,26.4523,1.1516,3.1757,3.1408,37.096,11.586,3.4549,21.1479,33.8157,144.1266,39.9576,8.9687,17.7977,25.196,32.8734,0.1396,13.3657,379.4054,1.9892,13.9939,5.5836,1.6402,99.4927,115.0919,112.4397,251.9598,1.9194,15.5294,2.5475,14.7267,15.7737,1.8496,23.9397,429.1343,17.2394,57.4064,4.5018,2.059,3.1059,0.4886,1.6751,1.6751,0.4537,8.6895,7.2587,38.0732,192.8784,8.7942,1.6751,136.9726,11.3766,289.0558,43.0286,1.9543,9.7713,1.4657,2.4777,248.2607,3.1059,53.8119,16.5065,38.0732,20.2754
SB 47,6,25.1396,1.3381,3.6493,3.8926,24.9369,9.3665,2.2301,14.881,35.1549,137.7813,46.4272,10.4208,21.4092,23.9232,27.5319,0.2433,16.8273,343.3991,4.2575,17.0301,11.5967,3.1222,124.1573,112.4795,90.6243,241.5836,0.9731,16.7462,3.1627,18.4087,18.3276,1.7436,21.4903,372.1475,17.395,56.6452,5.0279,2.7978,2.8789,0.446,2.0679,2.149,0.446,9.1232,8.515,62.9301,185.871,8.515,1.5003,173.7878,12.4482,300.459,49.9954,2.3923,12.286,1.5003,3.3249,247.1792,3.852,60.0918,16.6246,43.6294,21.6931
CA4,-1,12.8174,1.4043,2.1958,1.4809,8.8854,0.2553,4.315,0.5362,12.46,97.6371,37.8905,6.23,7.3024,2.4256,12.2557,0.1021,6.3832,170.8394,2.0937,7.9151,1.3022,0.3319,210.364,49.1505,47.8228,123.1187,0.6128,7.8641,0.7404,23.8986,13.0727,0.5617,4.3661,304.1968,16.9537,25.2263,2.732,1.6086,0,0,0,0.9958,0.7404,4.4427,6.4853,28.852,77.7726,6.7151,0.3575,104.6075,2.1958,112.4971,21.09,1.4554,9.2939,2.0937,1.0213,373.9521,3.7533,24.9455,15.3196,23.9497,3.3448
PA17,-2,8.2433,1.8135,1.3739,1.0625,7.3274,0.5679,3.2424,1.3739,16.5965,82.0299,37.4062,5.2207,5.5138,9.031,17.9887,0.0733,8.3715,245.7049,2.3264,7.1075,2.0883,0.806,176.6445,38.432,39.293,110.6615,1.1724,6.4114,2.0333,37.5344,10.4598,0.4213,1.8135,356.2565,13.867,16.8529,6.3748,1.0625,0,0,0,1.6303,0.8243,6.5946,6.906,26.9647,49.4048,3.3706,0.348,104.7813,2.6562,128.6502,34.1272,1.7402,9.6721,0.5312,1.6487,338.5792,5.5138,17.146,11.7055,11.3757,6.961
PA29,-3,15.415,1.6658,2.0139,1.0691,16.7078,0.721,4.0278,0.6962,22.7495,88.5367,28.468,6.3898,8.3788,7.2351,20.0892,0.1989,9.7214,213.5969,2.3371,8.8015,1.6409,0.4475,168.5453,50.9689,46.1952,109.869,1.4918,8.1799,1.9393,29.8354,11.238,1.1188,5.2461,408.646,15.4896,36.1257,5.3455,1.2431,0.4227,0,0.1492,2.362,0.2735,7.3345,6.9865,38.0153,67.3038,2.6603,0.4973,97.5867,2.8592,170.9322,30.6559,2.4863,10.0446,0,2.0885,375.2552,2.9338,18.5477,14.2961,27.1254,8.1799
PA64,-4,12.2717,4.6598,2.025,2.0494,13.5892,0.9759,1.0247,0.7563,26.9832,70.7515,37.1811,4.7818,5.7089,12.4669,12.0522,0.1464,7.1483,203.3496,2.6105,8.8561,0.5611,0.5123,150.8959,43.0852,47.989,108.689,1.2443,7.002,1.659,23.592,10.2712,0.5367,8.1486,285.8117,12.2229,16.3948,5.0746,0.9027,0.5855,0.2684,0.366,1.3662,0.5367,5.221,6.9532,27.5443,74.9722,5.343,0.366,89.1713,4.5623,122.7661,27.1783,1.293,6.4652,0,1.6346,3375.8232,5.2942,21.2986,10.8811,22.9089,8.3926
SA3,-5,15.3872,0.8989,2.2473,1.5599,21.1508,0.423,6.3981,0.6874,18.0311,115.7743,38.5474,6.7947,9.1742,11.4743,15.493,0.1058,11.5801,262.0323,3.014,7.9316,2.168,0.846,101.8677,56.6049,59.6189,169.5503,0,9.3328,1.8507,36.3794,13.9595,0.5816,5.9751,422.5935,15.7838,22.8165,5.0762,1.5334,0.4495,0,0,2.7496,0.3437,9.2799,6.7683,46.3468,113.0776,4.3359,0.6874,174.3093,6.3188,186.7882,42.4867,1.8771,8.9891,0,2.5645,202.9158,4.5739,41.9844,14.5676,20.7542,11.7387
TRI3,-6,10.2338,1.3172,2.8033,1.0132,15.165,0.304,0.5066,0.304,17.7656,98.2852,57.4175,5.4378,9.5921,1.9589,0,0.4391,7.0927,26.2432,4.1543,10.808,7.5656,0.8444,319.4101,50.6963,50.8651,130.3715,0.4053,10.4365,0.6417,3.0735,16.1782,0.1351,1.047,270.2337,22.2915,35.3624,7.2616,1.0808,0,0,0,0,0,1.6212,9.4908,41.9823,74.2037,11.6186,0.2026,132.5668,5.0325,31.3094,29.1478,2.2629,10.2,0.2702,1.655,347.8149,1.2497,24.622,18.4749,9.0179,5.6742
