EntrezGeneID,S1_12,S1_11,S1_10,S1_9,S1_8,S1_7,S1_6,S1_5,S1_4,S1_3,S1_2,S1_1,,,,
Treatment,PNU_6hr,dgA_6hr,Untreated_6hr,PNU_6hr,dgA_6hr,Untreated_6hr,PNU_6hr,dgA_6hr,Untreated_6hr,PNU_6hr,dgA_6hr,Untreated_6hr,,,,
ENSG00000223972,0,0,0,0,0,0,0,0,0,0,0,4,,,,
ENSG00000227232,232,711,79,58,134,80,64,100,33,21,46,27,,,,
ENSG00000278267,0,2,5,0,3,2,2,1,1,0,1,2,,,,
ENSG00000243485,0,0,1,1,0,0,1,1,0,0,1,0,,,,
ENSG00000237613,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000268020,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000240361,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000238009,0,1,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000233750,0,0,0,0,0,0,0,0,0,1,0,0,,,,
ENSG00000268903,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000269981,0,0,0,3,0,0,2,0,0,0,0,0,,,,
ENSG00000239906,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000241860,1,12,2,0,0,1,0,1,5,0,2,0,,,,
ENSG00000222623,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000279928,0,0,6,0,2,0,0,0,2,3,0,1,,,,
ENSG00000279457,255,802,71,49,143,76,70,85,46,27,42,25,,,,
ENSG00000273874,0,0,0,0,3,0,0,0,0,0,0,0,,,,
ENSG00000228463,0,0,0,0,1,0,0,1,0,1,0,0,,,,
ENSG00000241670,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000236679,2,4,0,1,0,0,0,2,0,0,0,0,,,,
ENSG00000236743,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,1,,,,
ENSG00000237094,6,5,0,2,4,2,5,3,1,3,1,1,,,,
ENSG00000269732,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000224813,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000233653,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENSG00000250575,0,0,1,0,1,0,0,0,0,0,0,0,,,,
ENSG00000278757,0,0,0,0,0,0,0,0,0,0,0,0,,,,
